step_idx,stage_start,stage_len,tilt_z,baseline_z,deviation_z,max_deviation_z,moved,returned,axis_x_tilt,axis_y_tilt,axis_z_tilt
209,208,1,1.70287851,nan,nan,nan,0,0,1.57381812,0.13211715,1.70287851
210,208,2,1.70134169,nan,nan,nan,0,0,1.57446480,0.13059749,1.70134169
211,208,3,1.69959130,nan,nan,nan,0,0,1.57562988,0.12888665,1.69959130
212,208,4,1.69759813,nan,nan,nan,0,0,1.57696292,0.12695328,1.69759813
213,208,5,1.69540021,nan,nan,nan,0,0,1.57842165,0.12483941,1.69540021
214,208,6,1.69292384,nan,nan,nan,0,0,1.58002074,0.12247886,1.69292384
215,208,7,1.69034306,nan,nan,nan,0,0,1.58163517,0.12004177,1.69034306
216,208,8,1.68780527,nan,nan,nan,0,0,1.58329679,0.11768088,1.68780527
217,208,9,1.68513949,nan,nan,nan,0,0,1.58491322,0.11521889,1.68513949
218,208,10,1.68227109,1.69959128,0.01732019,0.01732016,0,0,1.58650388,0.11258510,1.68227109
219,208,11,1.67962191,1.69959128,0.01996937,0.01996934,0,0,1.58807242,0.11019910,1.67962191
220,208,12,1.67721919,1.69959128,0.02237209,0.02237213,0,0,1.58960132,0.10808394,1.67721919
221,208,13,1.67495887,1.69959128,0.02463241,0.02463245,0,0,1.59101712,0.10612111,1.67495887
222,208,14,1.67297455,1.69959128,0.02661672,0.02661669,0,0,1.59233003,0.10443819,1.67297455
223,208,15,1.67122258,1.69959128,0.02836870,0.02836871,0,0,1.59337494,0.10294985,1.67122258
224,208,16,1.66986004,1.69959128,0.02973124,0.02973127,0,0,1.59429473,0.10183037,1.66986004
225,208,17,1.66865426,1.69959128,0.03093702,0.03093708,0,0,1.59507875,0.10084440,1.66865426
226,208,18,1.66730322,1.69959128,0.03228806,0.03228807,0,0,1.59584171,0.09972344,1.66730322
227,208,19,1.66620985,1.69959128,0.03338143,0.03338146,0,0,1.59647399,0.09882865,1.66620985
228,208,20,1.66547559,1.69959128,0.03411569,0.03411567,0,0,1.59694329,0.09824424,1.66547559
229,208,21,1.66487697,1.69959128,0.03471431,0.03471434,0,0,1.59745572,0.09780646,1.66487697
230,208,22,1.66438056,1.69959128,0.03521072,0.03521073,0,0,1.59800346,0.09748116,1.66438056
231,208,23,1.66427477,1.69959128,0.03531650,0.03531647,0,0,1.59840083,0.09749199,1.66427477
232,208,24,1.66438741,1.69959128,0.03520387,0.03531647,0,0,1.59873607,0.09769595,1.66438741
233,208,25,1.66435033,1.69959128,0.03524095,0.03531647,0,0,1.59912253,0.09777233,1.66435033
234,208,26,1.66566421,1.69959128,0.03392706,0.03531647,0,0,1.59738826,0.09854598,1.66566421
235,208,27,1.66104484,1.69959128,0.03854644,0.03854644,0,0,1.59858470,0.09445210,1.66104484
236,208,28,1.65671694,1.69959128,0.04287434,0.04287434,0,0,1.59970726,0.09067703,1.65671694
