worker	episode	seed	stage_score_pct	stage_success_rate	goal_success_rate	artifact_key
0	0	106	66.7	0.0	0.6667	worker0/episode000
0	1	106	100.0	1.0	1.0	worker0/episode001
0	2	106	33.3	0.0	0.3333	worker0/episode002
0	3	106	33.3	0.0	0.3333	worker0/episode003
1	4	106	66.7	0.0	0.6667	worker1/episode004
1	5	106	66.7	0.0	0.6667	worker1/episode005
1	6	106	100.0	1.0	1.0	worker1/episode006
1	7	106	66.7	0.0	0.6667	worker1/episode007
2	8	106	66.7	0.0	0.6667	worker2/episode008
2	9	106	100.0	1.0	1.0	worker2/episode009
2	10	106	100.0	1.0	1.0	worker2/episode010
2	11	106	66.7	0.0	0.6667	worker2/episode011
3	12	106	66.7	0.0	0.6667	worker3/episode012
3	13	106	100.0	1.0	1.0	worker3/episode013
3	14	106	33.3	0.0	0.3333	worker3/episode014
3	15	106	100.0	1.0	1.0	worker3/episode015
4	16	106	100.0	1.0	1.0	worker4/episode016
4	17	106	33.3	0.0	0.3333	worker4/episode017
4	18	106	100.0	1.0	1.0	worker4/episode018
4	19	106	33.3	0.0	0.3333	worker4/episode019
